id,name,cooking_time,author,ingredients,tags,text
1,Борщ,105,2,"1567:400,1053:150,556:300,520:250,886:100,1341:200,2055:9,1890:30,1143:150,278:300,1419:30,1684:5,1284:4,815:2,1894:15,1653:200,252:1000","3,4","Мясо нарежьте на небольшие куски и отварите в подсоленной воде до готовности. Время варки мяса зависит от типа и размера кусочков, обычно около 1-1,5 часа. Свеклу, морковь и картофель очистите и нарежьте кубиками. Лук нарежьте мелко. Помидоры натрите на тёрке или нарежьте мелкими кусочками. Чеснок нарежьте или измельчите. Капусту нашинкуйте. В сковороде разогрейте растительное масло. Обжарьте лук до золотистого цвета. Добавьте морковь и свеклу, жарьте до мягкости, около 10 минут. Добавьте помидоры и готовьте еще 5 минут. В кастрюлю с мясным бульоном добавьте картофель, нарезанный кубиками, и варите до полуготовности. Добавьте обжаренные овощи, капусту нашинкованную, лавровый лист, соль и перец. Варите до полной готовности всех овощей, около 15-20 минут. В конце добавьте нарезанный укроп, чеснок и, по желанию, уксус для баланса вкуса. Если используете солёные огурцы, нарежьте их и добавьте за 5 минут до окончания приготовления. Подавать борщ горячим, добавив ложку сметаны в каждую порцию. Можно также посыпать дополнительным укропом."
2,Овощной суп,40,3,"556:300,1053:150,886:100,1419:15,1684:5,1284:4,252:1000","3,4","Картофель и морковь очистите и нарежьте кубиками. Лук нарежьте мелко. В кастрюле разогрейте растительное масло. Обжарьте лук до золотистого цвета. В кастрюлю с обжаренным луком добавьте картофель и морковь. Залейте водой или овощным бульоном. Доведите до кипения, убавьте огонь и варите до готовности овощей, около 20-25 минут. Посолите и поперчите по вкусу. Дайте супу настояться 5 минут перед подачей. Подавайте горячим. По желанию, можно добавить свежие зелень или кусочек хлеба. Простой и сытный суп, который легко приготовить."
3,Грибной суп,40,4,"2077:250,556:200,1053:100,886:100,1419:15,2055:9,1684:5,1284:4,252:1000,1305:10,1890:10","3,4","Шампиньоны нарежьте ломтиками. Картофель и морковь очистите и нарежьте кубиками. Лук нарежьте мелко, чеснок измельчите. В кастрюле разогрейте растительное масло. Обжарьте лук до прозрачности, затем добавьте чеснок и продолжайте обжаривать ещё 1 минуту. Добавьте грибы и жарьте до тех пор, пока они не уменьшатся в объёме и не станут золотистыми (около 5-7 минут). В кастрюлю с грибами добавьте картофель и морковь. Залейте водой или грибным бульоном. Доведите до кипения, убавьте огонь и варите до готовности овощей, около 20 минут. Посолите и поперчите по вкусу. По желанию, можно добавить свежую зелень (петрушка или укроп). Подавайте горячим. Можно украсить зеленью или добавить гренки. Этот грибной суп легко приготовить, и он будет отличным выбором для уютного ужина."
4,Крем-суп из брокколи,40,5,"143:300,556:200,886:100,1053:100,2055:9,1128:750,1636:100,1419:15,1684:5,1284:4,1202:4,1305:10,1890:10","3","Брокколи разделите на соцветия. Картофель и морковь очистите и нарежьте кубиками. Лук нарежьте мелко, чеснок измельчите. В кастрюле разогрейте растительное масло. Обжарьте лук до прозрачности, затем добавьте чеснок и продолжайте обжаривать ещё 1 минуту. Добавьте в кастрюлю картофель и морковь, залейте овощным бульоном или водой. Доведите до кипения и варите на среднем огне до тех пор, пока картофель и морковь не станут мягкими, около 15 минут. В кастрюлю добавьте соцветия брокколи и варите ещё 10 минут до мягкости брокколи. Используйте погружной блендер, чтобы превратить суп в однородное пюре. Если у вас нет погружного блендера, можно перелить суп в обычный блендер и взбить порциями. Верните суп на плиту, добавьте сливки, перемешайте и доведите до кипения. Пробуйте на вкус, при необходимости добавьте соль и перец. Подавайте горячим, украсив зеленью и посыпав паприкой, если хотите. Этот крем-суп из брокколи имеет насыщенный вкус и шелковистую текстуру благодаря сливкам."
5,Классическая яичница,7,2,"2180:200,1419:10,1684:5,1284:4,1305:10","2","Нагрейте сковороду на среднем огне и добавьте растительное масло. Дайте маслу разогреться, чтобы оно покрывало дно сковороды. Осторожно разбейте яйца по краям сковороды, чтобы желтки не повредились. Слегка переместите яйца, если это необходимо, чтобы белок равномерно растёкся по сковороде. Обжаривайте яйца на среднем огне. Приготовление яиц в течение 2-3 минут приведёт к тому, что белок станет белым и полностью затвердеет, а желток останется жидким. Если хотите, чтобы желток тоже затвердел, готовьте ещё 1-2 минуты под крышкой. Посолите и поперчите яйца по вкусу. Переложите яичницу на тарелку. При желании украсьте зеленью. Яичница готовится быстро и легко, идеально подходит для завтрака или лёгкого перекуса."
6,Яичница с помидорами и сыром,10,3,"2180:300,1419:10,1341:100,1788:50,879:15,1684:5,1284:4,1305:10","2,3","Помидор нарежьте тонкими ломтиками или кубиками. Твёрдый сыр натрите на крупной тёрке. Зелёный лук мелко нарежьте. Нагрейте сковороду на среднем огне и добавьте растительное масло. Дайте маслу разогреться. Выложите нарезанные помидоры на сковороду и обжаривайте их в течение 1-2 минут, пока они слегка не размягчатся. Разбейте яйца в миску, слегка взбейте их вилкой, чтобы смешать белок и желток. Влейте взбитые яйца на сковороду к помидорам. Готовьте на среднем огне, пока яйца не начнут схватываться. Когда яйца начнут схватываться, посыпьте их натёртым сыром и зелёным луком. Соль и перец добавьте по вкусу. Продолжайте готовить, пока яйца полностью не затвердеют, а сыр не расплавится. Переложите яичницу на тарелку. Украсьте зеленью и сразу подавайте. Эта яичница получается сочной благодаря помидорам, сытной благодаря сыру и ароматной за счёт зелёного лука. Отличный вариант для вкусного завтрака."
7,Мясное рагу с овощами,100,4,"278:500,556:500,1053:150,886:100,1240:100,1853:30,2055:9,1419:30,815:2,1684:5,1284:4,252:300,1305:10","3","Говядину нарежьте небольшими кубиками. Картофель очистите и нарежьте кубиками среднего размера. Морковь нарежьте кружочками или полукружочками. Лук репчатый нарежьте полукольцами. Болгарский перец нарежьте полосками. Чеснок мелко порубите. В глубокой сковороде или казане разогрейте растительное масло. Выложите нарезанную говядину и обжаривайте на среднем огне до золотистой корочки. К обжаренному мясу добавьте нарезанный лук и морковь. Обжаривайте все вместе, пока лук не станет мягким. Затем добавьте болгарский перец и чеснок. Обжаривайте еще 2-3 минуты. Введите томатную пасту в сковороду и перемешайте. Готовьте 2-3 минуты, чтобы паста слегка карамелизовалась и впитала вкус овощей и мяса. Добавьте нарезанный картофель к мясу и овощам. Влейте воду так, чтобы она почти покрывала все ингредиенты. Добавьте лавровый лист, соль и перец по вкусу. Уменьшите огонь до слабого, накройте крышкой и тушите рагу около 1 часа, периодически помешивая, до мягкости мяса и картофеля. Готовое рагу разложите по тарелкам. Украсьте свежей зеленью и подавайте горячим. Мясное рагу с овощами – это сытное и ароматное блюдо, идеально подходящее для семейного ужина. Мясо становится мягким и насыщенным вкусами овощей, а картофель придаёт рагу плотную текстуру."
8,Мороженое с карамелизированными бананами и орехами,15,5,"1060:200,97:250,1546:50,1646:30,345:50,991:30,685:10,1106:5","1,2","Нарежьте бананы кружочками средней толщины. Грецкие орехи слегка измельчите ножом. В сковороде на среднем огне растопите сливочное масло. Добавьте сахар и помешивайте, пока он полностью не растворится и не превратится в золотистую карамель. Выложите нарезанные бананы в сковороду с карамелью и аккуратно обжарьте их с обеих сторон до образования золотистой корочки (примерно 2-3 минуты). В отдельной сухой сковороде обжарьте измельченные грецкие орехи до золотистого цвета (около 2 минут). Добавьте мёд и щепотку корицы. Хорошо перемешайте, чтобы орехи покрылись мёдом и стали ароматными. Выложите шарики ванильного мороженого на тарелки или в десертные бокалы. Сверху распределите карамелизированные бананы. Посыпьте медово-ореховой смесью. Украсьте десерт свежими листочками мяты. Подавайте сразу же, пока мороженое не растаяло, наслаждаясь сочетанием холодного мороженого с теплыми, ароматными бананами и хрустящими орехами. Этот десерт сочетает в себе нежность мороженого, сладость карамелизированных бананов и хрустящую текстуру орехов, создавая идеальное лакомство для любого случая."
9,Шоколадный мусс с ягодами,80,3,"2092:150,1637:200,1553:30,181:30,1646:30,2180:150,1684:5,2169:100,1106:5","1","Растопите шоколад и сливочное масло на водяной бане или в микроволновке, периодически помешивая, чтобы смесь стала однородной. Отложите в сторону и дайте немного остыть. В отдельной миске взбейте охлажденные сливки с сахарной пудрой до получения устойчивых пиков. Добавьте ванильный экстракт. Отделите желтки от белков двух яиц. Вмешайте желтки в слегка остывший растопленный шоколад, тщательно перемешивая. Взбейте белки с щепоткой соли до крепких пиков. Аккуратно соедините шоколадную смесь со взбитыми сливками, перемешивая до однородности. Вмешайте взбитые белки, стараясь сохранить воздушную текстуру мусса. Разложите мусс по порционным бокалам или чашкам. Охладите в холодильнике минимум на 1 час для застывания. Перед подачей украсьте мусс свежими ягодами и листочками мяты. Можно добавить немного тертого шоколада для дополнительного аромата и текстуры. Этот шоколадный мусс легок в приготовлении и обладает насыщенным вкусом тёмного шоколада, который отлично сочетается со свежими ягодами. Идеальный десерт для романтического ужина или вечернего угощения."
10,Запечённые груши с мёдом и орехами,30,5,"378:350,991:70,345:50,685:20,181:20,1646:20,851:5,1553:15,1106:5","1,2","Разогрейте духовку до 180°C. Вымойте груши, разрежьте их пополам и удалите сердцевину, создавая небольшие углубления в каждой половинке. Слегка сбрызните груши лимонным соком, чтобы они не потемнели. Грецкие орехи мелко нарежьте или слегка измельчите в блендере. В миске смешайте измельчённые орехи, мёд, корицу и ванильный экстракт. Выложите половинки груш на противень, застеленный пергаментной бумагой. В каждую половинку груши положите немного сливочного масла и заполните углубления орехово-медовой смесью. Запекайте груши в разогретой духовке около 20 минут, пока они не станут мягкими и слегка карамелизованными. Достаньте груши из духовки и дайте им немного остыть. Перед подачей посыпьте груши сахарной пудрой по вкусу и украсьте листочками мяты. Подавайте десерт тёплым, можно добавить немного ванильного мороженого сбоку. Запечённые груши с мёдом и орехами — это лёгкий, но изысканный десерт, который приятно удивит своими насыщенными ароматами и сочетанием текстур. Этот рецепт идеально подходит для тёплого осеннего вечера."
